strain	state	year
14-007	OR	2014
16-522-B	OR	2016
16-524-B	OR	2016
16-526-B	OR	2016
16-527-B	OR	2016
19-001	OR	2018
19-002	OR	2018
19-003	OR	2018
19-004	OR	2018
19-006	OR	2018
19-008	OR	2018
19-018	OR	2018
19-019	OR	2018
19-030	OR	2018
19-034	OR	2018
19-036	OR	2018
19-038	OR	2018
19-044	OR	2014
19-045	OR	2014
19-046	OR	2014
19-047	OR	2014
19-048	OR	2014
19-049	OR	2014
19-050	OR	2016
19-051	OR	2016
19-052	OR	2016
19-053	OR	2016
19-054	OR	2016
19-055	OR	2016
19-056	OR	2016
19-057	OR	2016
19-058	OR	2017
19-059	OR	2017
19-060	OR	2017
19-061	OR	2017
19-062	OR	2017
19-063	OR	2017
19-064	OR	2017
21-001-B	CA	1999
21-002-B	CA	2001
21-003-B	CA	2001
21-004-B	CA	2001
21-005-B	CA	2001
21-006-B	CA	2001
21-007-B	CA	2001
21-008-B	CA	2001
21-009-B	CA	2001
21-010-B	CA	2001
21-011-B	CA	1992
21-012-B	CA	1992
21-013-B	CA	2001
21-014-B	CA	1992
21-015-B	CA	1992
21-016-B	OR	1998
21-017-B	OR	1998
21-018-B	OR	1998
21-019-B	OR	1998
21-020-B	CA	1999
21-021-B	CA	1999
21-022-B	CA	1999
21-023-B	CA	1999
21-024-B	CA	1999
21-025-B	WA	1988
21-026-B	CA	2003
21-027-B	CA	1999
21-028-B	CA	1999
21-029-B	ID	1988
21-030-B	CA	2003
21-031-B	CA	2003
21-032-B	CA	1999
21-033-B	CA	1999
21-034-B	CA	1999
21-035-B	CA	1999
21-036-B	OR	1999
21-037-B	CA	2009
21-038-B	CA	2009
21-039-B	CA	2009
21-040-B	CA	2009
21-041-B	CA	2009
21-042-B	CA	2009
21-043-B	CA	2009
21-044-B	CA	2009
21-045-B	CA	2009
21-046-B	CA	2009
21-047-B	CA	2009
21-048-B	CA	2009
21-049-B	CA	2009
21-050-B	CA	2009
21-051-B	CA	2009
21-052-B	CA	2009
21-053-B	CA	2009
21-054-B	CA	2009
21-055-B	CA	2009
21-056-B	CA	2009
21-057-B	CA	2009
21-058-B	CA	2009
21-059-B	CA	2009
21-060-B	CA	2009
21-061-B	CA	2009
21-062-B	CA	2009
21-063-B	CA	2009
21-064-B	CA	2009
21-065-B	CA	2009
21-066-B	CA	2009
21-067-B	CA	2009
21-068-B	CA	2009
21-069-B	CA	2009
21-070-B	WA	2003
21-071-B	CA	2010
21-072-B	CA	2010
21-073-B	CA	2010
21-074-B	CA	2010
21-075-B	CA	2010
21-076-B	CA	2010
21-077-B	CA	2010
